지역,업소명,사업자명(대표자),소재지,Latitude,Longitude,총면적(제곱미터),홀수(홀),세부종류
충남,솔라고CC1,㈜현대도시개발 일진레저㈜,태안군 태안읍 소곳이길 92-234,36.7096765,126.3175412,720400,18,대중제
충남,솔라고CC2,㈜현대도시개발 일진레저㈜,태안군 태안읍 소곳이길 92-234,36.7096765,126.3175412,843860,18,대중제
경북,오션힐스포항C.C(회),오션힐스골프앤리조트㈜ 이승도,포항시 북구 송라면 대전길 7,36.2437955,129.3590208,918977,18,회원제
경북,오션힐스포항C.C(대),오션힐스골프앤리조트㈜ 이승도,포항시 북구 송라면 대전길 7,36.2437955,129.3590208,400940,9,대중제
경북,청하이스턴C.C,㈜이스턴 이일선,포항시 청하면 용산길 94,36.1625892,129.3631322,238597,9,대중제
경북,포항C.C,㈜홍익레저산업 이대형,포항시 송라면 동해대로 2751번길 123,36.2154049,129.345302,986443,18,대중제
경북,경주신라C.C,㈜경주신라CC 김철년,경주시 보문로 319,35.8501601,129.2853157,1876682,36,회원제
경북,보문G.C,경북문화관광공사 김성조,경주시 보문로 182-14,35.8610271,129.2734846,769499,18,대중제
경북,경주C.C,보문개발㈜ 박흥국,경주시 보문로 182-98,35.8635784,129.2618601,1461103,27,대중제
경북,마우나오션C.C,㈜엠오디 장재혁,경주시 양남면 동남로 982,35.6880745,129.3729831,786697,18,회원제
경북,마우나오션블루,㈜엠오디 장재혁,경주시 양남면 동남로 982,35.6880745,129.3729831,506975,9,대중제
경북,가든골프클럽,㈜코오롱글로텍 김영범,경주시 불국로 289-17(마동),35.7878201,129.3217306,175806,9,대중제
경북,우리G.C,㈜퍼블릭개발 임충희,경주시 양남면 동남로 972,35.6787474,129.3745873,442362,9,대중제
경북,서라벌G.C,㈜서라벌 김광세,경주시 외동읍 내외로 577-189,35.6929562,129.2742486,1979892,36,대중제
경북,골프존카운티 감포,㈜지씨감포 서상현,경주시 감포읍 동해안로 1819-59,35.7740848,129.4832514,983849,18,대중제
경북,디아너스C.C,㈜블루원 윤재연,경주시 보불로 391(천군동),35.8287888,129.2928708,1258239,27,회원제
경북,선리치G.C,㈜월성종합개발 이상걸,경주시 안강읍 검단장골길 181-17,35.9485537,129.2078451,244372,9,대중제
경북,안강레전드G.C,"옥산개발㈜ 허상호, 김태열",경주시 안강읍 낙산길 85,35.9963524,129.1642802,404646,9,대중제
경북,이스트힐C.C,㈜청학씨앤디 성세연,경주시 양남면 외남로 1377,35.7301808,129.3727483,1363308,18,대중제
경북,루나엑스C.C,㈜블루원 윤재연,경주시 천북면 천강로 412-299,35.9097463,129.3195821,1816593,24,대중제
경북,애플밸리C.C,에스엠하이플러스㈜ 최승석,김천시 어모면 작점로 606,36.2209039,128.0571971,486519,9,대중제
경북,포도C.C,㈜다옴 이세홍,김천시 구성면 남김천대로 2532,36.042357,128.0579287,774060,27,대중제
경북,남안동C.C,디아이개발㈜ 박춘영,안동시 일직면 풍일로 1887,36.4703758,128.6047601,1046500,18,회원제
경북,안동리버힐C.C,더리얼산업㈜ 이원상,안동시 풍천면 풍일로 1572,36.4888725,128.5731096,1017714,18,회원제
경북,안동레이크골프클럽,경북문화관광공사 김성조,안동시 관광단지로 316,36.5640821,128.7749277,982527,18,대중제
경북,골프존카운티 선산,㈜지씨선산 서상현,구미시 산동면 강동로 953-73,36.163731,128.4495138,977678,18,회원제
경북,골프존카운티 구미,㈜지씨구미 서상현,구미시 산동면 강동로 953-74,36.1569816,128.4515177,541702,18,대중제
경북,구미C.C,신구미개발㈜ 박병웅,구미시 장천면 송백로 229,36.1717809,128.4859027,1205829,27,대중제
경북,오펠G.C,부성개발㈜ 구성식,영천시 고경면 호국로 1221-24,36.0049876,129.0605885,1311521,27,회원제
경북,영천C.C,임고개발㈜ 이승도,영천시 임고면 방목길 34-2,36.0473164,129.0103931,1332592,27,회원제
경북,시엘G.C,㈜금호개발 김도윤,영천시 청통면 청통로 334-41,35.9923067,128.857125,186373,9,대중제
경북,청통골프장,㈜골프존카운티영천 서상현㈜골프존카운티 서상현,영천시 청통면 청통로 733,35.9868456,128.8100746,724398,18,대중제
경북,블루원상주골프리조트,㈜블루원 윤재연,상주시 모서면 화현3길 127,36.334159,127.9463222,1038679,18,대중제
경북,뉴스프링빌Ⅱ,㈜동승레저 박용민,상주시 모서면 백화로 40,36.3299465,127.9293598,1081418,18,대중제
경북,문경레저타운골프장,㈜문경레저타운 정광호,문경시 마성면 문경골프장길 240,36.713316,128.1568902,1022039,18,대중제
경북,대구C.C,"경산개발㈜ 우승백, 우승수",경산시 진량읍 일연로 718-42,35.8708132,128.8087013,1080303,27,회원제
경북,인터불고컨트리클럽,인터불고컨트리클럽㈜ 최만수,경산시 삼성현로 614-26,35.7957219,128.7625614,1695525,27,회원제
경북,구니C.C,케이알스포츠㈜ 유재봉,군위군 군위읍 도군로 2450,36.2534372,128.5474911,841556,18,대중제
경북,군위오펠G.C,신우개발㈜ 이정익,군위군 산성면 부흥로 227,36.1218817,128.7072483,999080,18,대중제
경북,이지스카이CC,㈜이지컨트리클럽 박현철,군위군 군위읍 대흥1길 48-148,36.2910902,128.5378238,891436,18,대중제
경북,엠스클럽의성,㈜바이오컨트리클럽 최영수,의성군 봉양면 농공마전길 125-78,36.2818256,128.5601487,957974,18,대중제
경북, ,대지개발㈜ 문병동,의성군 봉양면 농공마전길 125-78,36.2818256,128.5601487,496811,9,대중제
경북,파라지오C.C,"㈜파라지오 최정헌, 정영권",의성군 봉양면 신평리 산50,36.2919352,128.5488215,972560,18,대중제
경북,오션비치C.C,㈜오션비치 박재선,영덕군 강구면 동해대로 4265-43,36.3438289,129.3747781,1410518,27,대중제
경북,그레이스C.C,㈜태왕아너스 이명숙,청도군 이서면 서녁길 91,35.6647074,128.6453902,1465851,27,대중제
경북,오션힐스청도G.C,유창개발㈜ 이승도,청도군 매전면 곰티로 370-204,35.6755852,128.8106928,804257,18,대중제
경북,펜타뷰골프클럽,아리유㈜ 이건순,청도군 금천면 금천로 709,35.742343,128.8566681,249315,9,대중제
경북,유니밸리C.C,고령컨트리클럽㈜ 박선자,고령군 고령읍 일량로 588,35.682042,128.2937722,385623,9,대중제
경북,마스터피스CC,㈜누가개발 김인자,고령군 쌍림면 산막길 47-80,35.7040586,128.2152513,1034362,18,대중제
경북,대가야CC,㈜흥진레저 심병재,고령군 대가야읍 대가야로 1103,35.7331984,128.2694686,469311,9,대중제
경북,다산 샤인힐CC,두강건설㈜ 이정익,고령군 다산면 벌지로 175-115,35.8171835,128.3702007,1031280,18,대중제
경북,파미힐스C.C,"㈜한길 최성혁, 김종, 황만옥",칠곡군 왜관읍 봉계로 263,36.0012546,128.4441554,2094223,36,회원제
경북,마이다스 구미 골프아카데미,㈜대교디앤에스 최득희,칠곡군 가산면 학하2길 54-171,36.0816847,128.4718425,428970,9,대중제
경북,세븐밸리C.C,㈜세븐밸리제이씨 유진선,칠곡군 왜관읍 봉계3길 180,36.0172154,128.4640771,941849,18,대중제
